Age,M,F
   0- 4,2330000,2215000
   5- 9,2553000,2438000
  10-14,2731000,2598000
  15-19,2866000,2732000
  20-24,3279000,3079000
  25-29,3252000,3041000
  30-34,3307000,3160000
  35-39,3704000,3600000
  40-44,4142000,4042000
  45-49,4911000,4805000
  50-54,4507000,4452000
  55-59,3914000,3922000
  60-64,3644000,3736000
  65-69,3861000,4098000
  70-74,4569000,5114000
  75-79,3022000,3744000
  80-84,2293000,3207000
  85-89,1390000,2468000
  90-94,536000,1365000
  95-99,113000,463000
100+,10000,71000
